member_casual,MON(strt_trip),trip_time_minutes
casual,April,437624.583333
casual,August,4879176.450000
casual,December,440741.900000
casual,February,156980.850000
casual,January,254036.766667
casual,July,4534042.583333
casual,June,2691267.000000
casual,March,1383875.066667
casual,May,1558490.683333
casual,November,1379718.383333
casual,October,2268559.333333
casual,September,3803215.616667
member,April,982575.000000
member,August,4895489.683333
member,December,1182977.400000
member,February,499705.900000
member,January,894710.150000
member,July,4397835.800000
member,June,3072612.000000
member,March,1834169.416667
member,May,1934850.300000
member,November,2135939.066667
member,October,3044454.850000
member,September,4146656.766667
