member_casual,MON(strt_trip),trip_time_minutes
casual,February,1.57E+05
casual,January,2.54E+05
casual,April,4.38E+05
casual,December,4.41E+05
member,February,5.00E+05
member,January,8.95E+05
member,April,9.83E+05
member,December,1.18E+06
casual,November,1.38E+06
casual,March,1.38E+06
casual,May,1.56E+06
member,March,1.83E+06
member,May,1.93E+06
member,November,2.14E+06
casual,October,2.27E+06
casual,June,2.69E+06
member,October,3.04E+06
member,June,3.07E+06
casual,September,3.80E+06
member,September,4.15E+06
member,July,4.40E+06
casual,July,4.53E+06
casual,August,4.88E+06
member,August,4.90E+06
